,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x06012c8cf97bead5deae237070f9587f8e7a266d,53027.0,7824.784,2906,1625,39,52,529
1,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2745.0,1148.8959999999997,459,170,13,9,66
2,0x0000000000085d4780b73119b644ae5ecd22b376,314.0,107.396,77,39,3,0,4
3,0x514910771af9ca656af840dff83e8264ecf986ca,1890.0,426.5479999999999,229,202,2,5,21
4,0x798abda6cc246d0edba912092a2a3dbd3d11191b,21048.0,2493.888,1008,660,12,16,155
5,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2538.0,261.724,196,148,2,2,12
6,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,3791.0,792.9519999999999,388,138,9,5,43
7,0x6b175474e89094c44da98b954eedeac495271d0f,996.0,327.5279999999999,278,102,2,3,16
8,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,4346.0,710.9559999999999,511,301,6,4,31
9,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,1411.0,467.884,226,149,6,3,21
10,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,6173.0,635.3719999999998,387,193,2,6,44
11,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,8855.0,1224.1119999999996,597,349,12,15,59
12,0x9e9801bace260f58407c15e6e515c45918756e0f,791.0,198.44799999999998,114,74,1,3,9
13,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,4954.0,471.91999999999996,315,225,3,0,29
14,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,1811.0,358.532,165,93,3,6,18
15,0x39755357759ce0d7f32dc8dc45414cca409ae24e,16309.0,2184.296,1260,695,9,15,144
16,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2126.0,297.1439999999999,168,67,2,1,21
17,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,490.0,216.19199999999998,90,54,2,4,9
18,0x9554efa1669014c25070bc23c2df262825704228,496.0,57.935999999999986,36,19,0,0,3
