,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x798abda6cc246d0edba912092a2a3dbd3d11191b,20730.0,488.20000000000005,949,597,71,75,159
1,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,390.0,40.524,77,52,3,19,8
2,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,1910.0,61.448,154,57,8,15,25
3,0x39755357759ce0d7f32dc8dc45414cca409ae24e,15226.0,526.76,1166,645,50,98,164
4,0x06012c8cf97bead5deae237070f9587f8e7a266d,47836.0,1650.096,2695,1449,132,221,654
5,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2206.0,74.49600000000001,173,134,10,24,19
6,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2424.0,215.784,406,154,17,56,84
7,0x6b175474e89094c44da98b954eedeac495271d0f,828.0,98.436,247,96,0,32,26
8,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,829.0,112.91200000000002,190,131,11,48,25
9,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,3902.0,174.86,449,280,19,62,43
10,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,4164.0,127.44000000000001,284,199,22,33,34
11,0x9554efa1669014c25070bc23c2df262825704228,481.0,11.504000000000001,32,17,2,2,5
12,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,3467.0,179.608,326,119,14,61,63
13,0x514910771af9ca656af840dff83e8264ecf986ca,1386.0,115.94800000000001,194,190,5,35,35
14,0x9e9801bace260f58407c15e6e515c45918756e0f,595.0,44.36,100,70,2,14,15
15,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,5874.0,163.436,357,179,12,29,55
16,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,1568.0,73.436,150,84,8,23,20
17,0x0000000000085d4780b73119b644ae5ecd22b376,229.0,22.872000000000003,67,38,1,9,8
18,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,7550.0,271.40000000000003,563,289,38,30,112
