,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x6b175474e89094c44da98b954eedeac495271d0f,1229.0,574.7560000000001,283,109,0,3,6
1,0x0000000000085d4780b73119b644ae5ecd22b376,316.0,180.94,77,42,0,0,4
2,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,1993.0,508.83199999999994,228,171,0,2,4
3,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,10261.0,1808.556,390,143,17,1,32
4,0x9e9801bace260f58407c15e6e515c45918756e0f,936.0,370.024,116,78,0,4,3
5,0x9554efa1669014c25070bc23c2df262825704228,577.0,93.108,36,20,2,0,0
6,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,5019.0,1045.6839999999997,518,316,1,4,14
7,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2807.0,494.188,198,153,0,2,7
8,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,689.0,254.60000000000002,92,64,0,2,1
9,0x39755357759ce0d7f32dc8dc45414cca409ae24e,20415.0,4634.648,1266,742,23,1,91
10,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,5589.0,1005.316,315,232,2,0,23
11,0x798abda6cc246d0edba912092a2a3dbd3d11191b,25211.0,4843.5560000000005,1016,725,27,10,73
12,0x06012c8cf97bead5deae237070f9587f8e7a266d,74697.0,15315.676,2943,1856,118,32,202
13,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,9420.0,1490.032,391,204,8,2,27
14,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4600.0,2264.3599999999997,469,202,13,7,26
15,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,10311.0,2292.448,606,384,7,14,21
16,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,2134.0,634.3399999999999,168,106,0,5,6
17,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,326.0,117.16000000000001,26,14,1,0,2
18,0x514910771af9ca656af840dff83e8264ecf986ca,2329.0,778.5160000000001,233,212,2,4,8
19,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2576.0,641.752,169,75,5,1,9
