,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x06012c8cf97bead5deae237070f9587f8e7a266d,71921.0,41382.148,2929,1683,220,83,236
1,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2742.0,1261.0439999999999,198,146,4,4,8
2,0x9e9801bace260f58407c15e6e515c45918756e0f,930.0,944.44,116,74,2,4,5
3,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,10148.0,6724.548,603,345,39,24,21
4,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2477.0,1871.144,168,62,16,3,10
5,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4282.0,6168.376,466,165,37,20,29
6,0x6b175474e89094c44da98b954eedeac495271d0f,1206.0,1875.932,282,93,12,7,7
7,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,5001.0,2946.876,515,307,8,5,18
8,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,1908.0,2314.4719999999998,228,151,14,8,4
9,0x9554efa1669014c25070bc23c2df262825704228,567.0,286.844,36,19,1,0,2
10,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,653.0,884.0440000000001,92,58,2,6,1
11,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,2042.0,1868.292,168,93,7,9,8
12,0x0000000000085d4780b73119b644ae5ecd22b376,304.0,509.67199999999997,77,39,3,4,0
13,0x39755357759ce0d7f32dc8dc45414cca409ae24e,19912.0,12575.988000000001,1261,693,60,11,98
14,0x514910771af9ca656af840dff83e8264ecf986ca,2311.0,2075.2,233,204,5,8,9
15,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,9031.0,3762.724,387,191,18,6,30
16,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,7096.0,4435.103999999999,388,135,18,10,32
17,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,5607.0,2602.196,315,226,8,8,15
18,0x798abda6cc246d0edba912092a2a3dbd3d11191b,24715.0,12020.96,1005,689,47,36,74
