,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x9a642d6b3368ddc662ca244badf32cda716005bc,535,12702.167262,159,38,0,0,13
1,0x47a16e51bcc89c0015622fe83eb482a4522f6c5c,562,8563.837401999997,132,31,0,2,7
2,0xb97048628db6b661d4c2aa833e95dbe1a905b280,1095,4902.182398,136,45,0,15,5
3,0xa37d94e80eab7a5bcb6d2e76b7666e341e4b58f6,1821,6051.174970999998,111,70,1,10,5
4,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,2048,16388.866802000004,224,57,9,0,9
5,0xedbaf3c5100302dcdda53269322f3730b1f0416d,1472,9308.598391999998,91,63,6,0,2
6,0x8971f9fd7196e5cee2c1032b50f656855af7dd26,2279,6689.299633,120,79,2,8,6
7,0x58a4884182d9e835597f405e5f258290e46ae7c2,713,4095.0181730000036,171,53,0,2,2
8,0x8fdcc30eda7e94f1c12ce0280df6cd531e8365c5,634,8883.735986,132,38,1,2,6
9,0xbcc394d45c3613530a83cae62c716dc23b7f2152,2365,17522.61529000001,237,57,5,18,14
10,0xb363a3c584b1f379c79fbf09df015da5529d4dac,3030,11419.331411999992,214,81,3,23,10
11,0x03cb0021808442ad5efb61197966aef72a1def96,3710,32820.559210999985,345,125,6,0,28
12,0x39755357759ce0d7f32dc8dc45414cca409ae24e,5219,41351.44843999992,780,266,8,40,37
13,0xdd9fd6b6f8f7ea932997992bbe67eabb3e316f3c,13833,99967.36075099999,1339,527,23,12,77
14,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a,2100,4518.8968589999995,185,74,2,25,2
15,0x7c5cb1220bd293ff9cf903915732e51a71292038,2765,20085.80205299997,190,145,7,14,14
16,0x105631c6cddba84d12fa916f0045b1f97ec9c268,6770,96640.04292899999,547,263,15,54,89
17,0xe530441f4f73bdb6dc2fa5af7c3fc5fd551ec838,3234,2066.5250199999996,192,100,0,25,2
18,0xf8a4d3a0b5859a24cd1320ba014ab17f623612e2,16567,70580.24197300008,1169,643,14,31,53
19,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,3219,23755.55714900001,370,94,3,2,18
