,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x8562c38485b1e8ccd82e44f89823da76c98eb0ab,10123,128624.253908,973,423,22,123,74
1,0x12459c951127e0c374ff9105dda097662a027093,2245,61566.57612800004,387,139,14,33,34
2,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,1909,1764.9008869999996,172,49,0,19,0
3,0xf8a4d3a0b5859a24cd1320ba014ab17f623612e2,16840,58582.467416000014,1170,655,15,52,18
4,0x58959e0c71080434f237bd42d07cd84b74cef438,2152,12727.871614000003,228,87,0,6,6
5,0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,7290,18180.30767600003,428,205,8,47,5
6,0xbc2faad1ec407571249b0e874a9abd840111389b,1790,19875.284818000015,251,98,0,13,7
7,0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce,1853,4132.448044999995,163,48,1,17,1
8,0x24b6638549f0d857bd76abcb4a3ab20ec65833c7,7254,60993.31177299991,583,244,16,25,34
9,0x4f01001cf69785d4c37f03fd87398849411ccbba,1503,1004.7220659999999,59,25,1,15,0
10,0x8971f9fd7196e5cee2c1032b50f656855af7dd26,2276,6789.553456999999,120,81,2,10,2
11,0x744d70fdbe2ba4cf95131626614a1763df805b9e,4795,26286.176483999996,302,121,3,22,21
12,0xe530441f4f73bdb6dc2fa5af7c3fc5fd551ec838,3234,1722.2276260000003,193,100,0,26,0
13,0x457476bc97adef10aba63fcadaefe503553fa0d2,3912,35959.50666600003,563,234,2,18,14
14,0xdd9fd6b6f8f7ea932997992bbe67eabb3e316f3c,14832,91790.71284300022,1341,537,38,21,41
15,0x06a6a7af298129e3a2ab396c9c06f91d3c54aba8,12268,66829.181169,928,374,18,46,33
16,0xba7435a4b4c747e0101780073eeda872a69bdcd4,2398,5707.943360999997,268,118,1,3,0
17,0x9e15f8ad98e95033c1d4798458cec34a4b5972b0,6089,61141.82041400003,417,187,24,8,31
18,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,1895,8913.463679999997,173,55,0,15,6
19,0x8e870d67f660d95d5be530380d0ec0bd388289e1,1273,932.709758,71,23,0,1,1
20,0x818e6fecd516ecc3849daf6845e3ec868087b755,6449,14358.02178300001,308,129,9,30,4
21,0x9e9801bace260f58407c15e6e515c45918756e0f,839,7575.191421999998,137,54,0,4,4
22,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,2436,26964.90095199999,349,79,7,3,17
23,0xa74476443119a942de498590fe1f2454d7d4ac0d,1204,5483.712829,106,46,1,10,2
24,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,1238,14610.27720200001,170,56,0,16,11
25,0x7600977eb9effa627d6bd0da2e5be35e11566341,1113,79361.43483399999,563,209,10,18,54
26,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a,2158,3835.3546959999967,185,75,2,26,0
27,0x8912358d977e123b51ecad1ffa0cc4a7e32ff774,2127,10005.438651999997,199,60,1,18,6
28,0x0d152b9ee87ebae179f64c067a966dd716c50742,2228,9024.634096000002,130,101,2,17,3
29,0xef68e7c694f40c8202821edf525de3782458639f,1656,10364.567433999991,324,82,2,7,1
30,0xc4131c1893576e078a0b637b653f3e6a18e137ac,677,15636.041725,149,52,0,7,9
31,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,6907,34621.15420099997,347,191,9,13,19
32,0x105631c6cddba84d12fa916f0045b1f97ec9c268,9811,91488.2571100002,548,269,38,62,51
33,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,2457,2333.0177449999987,146,68,1,18,0
34,0x74fd51a98a4a1ecbef8cc43be801cce630e260bd,2569,7960.551914999999,193,107,3,12,2
35,0xb3775fb83f7d12a36e0475abdd1fca35c091efbe,4572,18583.66811700001,326,116,2,13,11
36,0xf0155486a14539f784739be1c02e93f28eb8e960,1264,936.9740959999999,59,20,0,1,1
37,0x5da8d37485b4374fc338fc1f1ea31d07eb7bedd3,4586,14106.489379999985,278,198,5,30,3
38,0x425372c0ac9d559a186a08a3854e0ddea1a00d5c,11345,63853.706722000046,864,357,18,41,37
39,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,5756,32362.169884999992,803,213,15,68,13
40,0x686b30a80826340a59afa564c2a01b79128eb7dd,872,11952.938666000002,168,53,0,5,6
41,0xf230b790e05390fc8295f4d3f60332c93bed42e2,903,7425.606079000001,145,44,0,13,6
42,0xe6b75a1960f91bfa7010dec8543685ead67f8cff,3072,13111.845756,215,80,4,18,8
43,0x7c5cb1220bd293ff9cf903915732e51a71292038,2881,17862.264711000007,190,148,8,17,7
44,0xd1ceeeefa68a6af0a5f6046132d986066c7f9426,4949,25286.650165999992,255,122,6,13,13
45,0x419d0d8bdd9af5e606ae2232ed285aff190e711b,3223,26977.43630600002,227,80,5,30,20
46,0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,3373,18263.364688999995,282,117,6,4,7
47,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,5325,11314.545986000001,356,195,3,38,4
48,0x867ffb5a3871b500f65bdfafe0136f9667deae06,5950,58355.530884,350,182,8,27,43
49,0xd77bcd9cf4212a41defbcd2e2ff0f50fea2be643,708,14391.934358999988,199,45,0,7,8
50,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,7419,58234.470742999925,574,239,19,24,26
51,0x1530df3e1c69501d4ecb7e58eb045b90de158873,3548,16514.94912800001,314,134,5,4,5
52,0x595832f8fc6bf59c85c527fec3740a1b7a361269,1121,10672.676448000004,202,61,0,6,4
53,0x931abd3732f7eada74190c8f89b46f8ba7103d54,1687,5198.095351,137,90,1,12,2
54,0x275b69aa7c8c1d648a0557656bce1c286e69a29d,3548,16987.951042999994,312,134,5,6,5
55,0xc9c4d9ec2b44b241361707679d3db0876ac10ca6,2763,6622.850407,206,97,0,14,2
56,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,2161,16602.391524000006,224,57,17,0,1
57,0x08ceed1e8db59acbb687a5752f0a7db815cfda5e,2716,7102.215197,145,115,2,12,2
58,0x1f0480a66883de97d2b054929252aae8f664c15c,2604,6751.924273000001,190,100,2,22,3
59,0xcb97e65f07da24d46bcdd078ebebd7c6e6e3d750,519,15457.239451000001,168,38,0,7,9
60,0x9a642d6b3368ddc662ca244badf32cda716005bc,535,12765.864868,159,38,0,4,9
61,0x3c7b464376db7c9927930cf50eefdea2eff3a66a,1363,6945.3252870000015,118,62,3,8,2
62,0x02b3c88b805f1c6982e38ea1d40a1d83f159c3d4,960,11060.739800000003,182,45,0,5,6
63,0x62b9f8741bf53a6986a5411c0557c30f6f11f3af,930,10709.754711999998,122,59,2,9,6
64,0x7a271d1df2c3f2fef734611c6c7ee6b9b8439204,822,8096.8062869999985,84,55,2,11,3
65,0x4092678e4e78230f46a1534c0fbc8fa39780892b,2505,8559.690326999998,257,84,1,4,4
66,0xc5d105e63711398af9bbff092d4b6769c82f793d,1910,15495.561447999997,215,72,2,8,7
67,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,3922,21425.924296000012,371,94,10,6,6
68,0xae9b8e05c22bae74d1e8db82c4af122b18050bd4,6468,103682.65088200005,647,313,40,38,44
69,0x47a16e51bcc89c0015622fe83eb482a4522f6c5c,562,8358.963440000001,132,31,0,5,4
70,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,730,3639.9465819999996,72,43,2,8,0
71,0xb5a5f22694352c15b00323844ad545abb2b11028,2001,2938.567666999999,148,70,0,22,0
72,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,339,1742.7868469999996,86,17,0,0,1
73,0x5b8174e20996ec743f01d3b55a35dd376429c596,740,15334.504585,179,46,2,6,7
74,0x39755357759ce0d7f32dc8dc45414cca409ae24e,6278,34240.11987000002,780,273,10,52,16
75,0xbc4162d53f945266684f4e5e48d545f206bc1ca5,451,7402.670816999998,130,25,0,4,4
76,0x45555629aabfea138ead1c1e5f2ac3cce2add830,1261,13390.41133,130,51,2,15,9
77,0xd850942ef8811f2a866692a623011bde52a462c1,4355,21976.677987999996,177,78,11,24,7
78,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2562,7714.148939000004,188,105,3,12,2
79,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,2332,9369.156862000002,175,57,3,13,6
80,0x0e50e6d6bb434938d8fe670a2d7a14cd128eb50f,930,10596.665070000005,122,59,2,9,6
81,0xfa1a856cfa3409cfa145fa4e20eb270df3eb21ab,384,4657.079998000003,116,28,0,5,0
82,0xfc87d4f82fc5fe80a2d1692ffee872b2517c34c7,1735,11728.053128000005,188,73,0,5,6
83,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,3240,3646.444817999997,180,73,4,19,0
84,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,613,4024.697329000002,114,42,0,3,0
85,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,3486,9747.032118999994,287,125,1,5,4
86,0xb8c77482e45f1f44de1745f52c74426c631bdd52,900,8337.720309999995,250,47,1,4,4
87,0xbcc394d45c3613530a83cae62c716dc23b7f2152,2321,16631.716415999992,237,58,4,25,7
88,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,3676,13283.01490199998,255,110,8,5,0
89,0x0d8775f648430679a709e98d2b0cb6250d2887ef,1329,3352.4940290000013,174,46,0,15,1
90,0x514910771af9ca656af840dff83e8264ecf986ca,1652,6920.247268,163,52,0,21,4
91,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,1923,4754.350100000001,154,58,2,18,2
92,0x174bfa6600bf90c885c7c01c7031389ed1461ab9,1935,16297.449058,259,89,2,6,7
93,0xa37d94e80eab7a5bcb6d2e76b7666e341e4b58f6,1839,5703.667155999998,112,72,1,10,2
94,0x4672bad527107471cb5067a887f4656d585a8a31,1742,10710.427526000005,141,51,1,17,7
95,0x3495ffcee09012ab7d827abf3e3b3ae428a38443,1889,11745.511440999991,175,77,1,5,6
96,0xb363a3c584b1f379c79fbf09df015da5529d4dac,3019,10357.180778999998,215,84,4,24,4
97,0xedbaf3c5100302dcdda53269322f3730b1f0416d,1605,5072.935868999997,91,66,5,0,0
98,0xdac17f958d2ee523a2206206994597c13d831ec7,5553,26237.59140699998,383,119,14,5,8
99,0xb97048628db6b661d4c2aa833e95dbe1a905b280,1098,4652.135313,136,45,2,16,2
100,0xfd0174784ebce943bdb8832ecdea9fea30e7c7a9,2576,12024.706049,185,75,6,1,4
101,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,1317,7619.375969,114,39,1,8,5
102,0x0000000000085d4780b73119b644ae5ecd22b376,1311,148.13655500000002,60,34,0,2,0
103,0x03df4c372a29376d2c8df33a1b5f001cd8d68b0e,615,7445.366031999993,211,54,0,3,4
104,0x818fc6c2ec5986bc6e2cbf00939d90556ab12ce5,1241,2106.625992999999,162,50,0,21,0
105,0x03cb0021808442ad5efb61197966aef72a1def96,4559,25692.820525,348,134,7,5,10
106,0x6a750d255416483bec1a31ca7050c6dac4263b57,679,11953.469495000003,177,41,0,6,6
107,0xbf5f8bfcee9502a30018d91c63eca66980e6e9bb,2481,22358.40547600001,258,94,5,4,12
108,0x6f259637dcd74c767781e37bc6133cd6a68aa161,714,1653.2034320000005,83,33,0,9,0
