,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x39755357759ce0d7f32dc8dc45414cca409ae24e,6279,34289.33520400007,780,273,14,45,19
1,0x105631c6cddba84d12fa916f0045b1f97ec9c268,9738,91977.2346249998,547,269,37,58,57
2,0x744d70fdbe2ba4cf95131626614a1763df805b9e,4814,26525.572846,302,121,3,21,22
3,0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce,1853,4162.000072999998,163,48,1,16,2
4,0x9e15f8ad98e95033c1d4798458cec34a4b5972b0,6693,62281.473149000056,417,186,27,4,33
5,0xc9c4d9ec2b44b241361707679d3db0876ac10ca6,2935,6625.9746780000005,206,97,3,10,3
6,0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,7249,17440.395547000004,428,205,7,47,6
7,0xd850942ef8811f2a866692a623011bde52a462c1,4588,21984.854260999997,177,78,14,20,8
8,0x8562c38485b1e8ccd82e44f89823da76c98eb0ab,10065,126842.15038399989,973,421,21,119,81
9,0xae9b8e05c22bae74d1e8db82c4af122b18050bd4,6631,104439.66636400003,647,313,50,23,49
10,0x4092678e4e78230f46a1534c0fbc8fa39780892b,2517,8667.079951000009,257,84,1,2,6
11,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,2267,9520.89285,175,57,2,13,7
12,0xba7435a4b4c747e0101780073eeda872a69bdcd4,2410,5865.536633999997,268,118,1,1,2
13,0x174bfa6600bf90c885c7c01c7031389ed1461ab9,1930,16691.479766999993,259,89,1,4,10
14,0x425372c0ac9d559a186a08a3854e0ddea1a00d5c,11524,61757.04855200004,864,357,21,36,39
15,0x0d152b9ee87ebae179f64c067a966dd716c50742,2246,8830.095231999998,130,101,3,15,4
16,0xf8a4d3a0b5859a24cd1320ba014ab17f623612e2,16860,60884.44541099996,1170,653,23,41,23
17,0x0d8775f648430679a709e98d2b0cb6250d2887ef,1335,3328.6409740000017,174,46,1,13,2
18,0xe1ac9eb7cddabfd9e5ca49c23bd521afcdf8be49,3915,16711.226312999996,368,137,7,1,7
19,0xd77bcd9cf4212a41defbcd2e2ff0f50fea2be643,708,14666.390973,199,45,0,4,11
20,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,3937,22765.703147000007,371,94,9,2,11
21,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,1895,8953.437292000004,173,55,0,14,7
22,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,2525,27177.62956999998,349,79,7,1,19
23,0xb363a3c584b1f379c79fbf09df015da5529d4dac,3045,10367.700834,215,84,4,23,5
24,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,5333,11257.056785999997,356,195,5,36,4
