,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x8562c38485b1e8ccd82e44f89823da76c98eb0ab,9936,139146.05239400014,970,406,31,97,111
1,0x12459c951127e0c374ff9105dda097662a027093,2219,68982.79638899997,383,133,11,33,47
2,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,1909,2154.131932000002,172,49,0,19,0
3,0xf8a4d3a0b5859a24cd1320ba014ab17f623612e2,16717,91106.76053300008,1167,620,32,65,26
4,0x58959e0c71080434f237bd42d07cd84b74cef438,2149,14759.19374000001,226,86,1,7,7
5,0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,6984,21627.87970600002,428,196,11,48,10
6,0xbc2faad1ec407571249b0e874a9abd840111389b,1787,27736.998472000007,249,93,4,16,7
7,0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce,1850,5428.392021999996,162,48,0,18,2
8,0x24b6638549f0d857bd76abcb4a3ab20ec65833c7,6734,67422.99101100006,583,237,15,27,40
9,0x4f01001cf69785d4c37f03fd87398849411ccbba,1503,1823.213002,59,24,2,15,0
10,0x8971f9fd7196e5cee2c1032b50f656855af7dd26,2265,7874.193515999999,120,78,4,10,3
11,0x744d70fdbe2ba4cf95131626614a1763df805b9e,4713,34270.591105000036,298,114,8,25,24
12,0xe530441f4f73bdb6dc2fa5af7c3fc5fd551ec838,3234,2227.7588050000004,192,100,0,27,0
13,0x457476bc97adef10aba63fcadaefe503553fa0d2,3883,47064.162083999996,562,222,9,17,21
14,0xdd9fd6b6f8f7ea932997992bbe67eabb3e316f3c,14487,110358.42616099984,1338,515,52,24,49
15,0x06a6a7af298129e3a2ab396c9c06f91d3c54aba8,12244,70163.07012500001,925,368,19,45,42
16,0xba7435a4b4c747e0101780073eeda872a69bdcd4,2398,7391.521789999996,267,118,1,4,0
17,0x9e15f8ad98e95033c1d4798458cec34a4b5972b0,5437,66730.20778999996,413,182,21,8,43
18,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,1895,9617.203464,172,55,0,15,7
19,0x8e870d67f660d95d5be530380d0ec0bd388289e1,1273,1265.5130270000002,71,23,0,1,1
20,0x818e6fecd516ecc3849daf6845e3ec868087b755,6443,17610.727490000012,307,125,13,31,4
21,0x9e9801bace260f58407c15e6e515c45918756e0f,839,8590.414722,137,54,0,4,4
22,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,2432,38099.31748600001,342,73,11,11,18
23,0xa74476443119a942de498590fe1f2454d7d4ac0d,1169,7883.643649999998,106,42,5,10,2
24,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,1163,15265.124794000005,169,55,0,15,14
25,0x7600977eb9effa627d6bd0da2e5be35e11566341,1085,91888.08662799977,558,196,15,20,65
26,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a,2077,4246.763324,185,75,1,26,1
27,0x8912358d977e123b51ecad1ffa0cc4a7e32ff774,2127,10277.968251999997,198,60,1,18,7
28,0x0d152b9ee87ebae179f64c067a966dd716c50742,2228,10640.320526000003,129,98,5,18,3
29,0xef68e7c694f40c8202821edf525de3782458639f,1549,11412.592470999994,324,81,1,7,3
30,0xc4131c1893576e078a0b637b653f3e6a18e137ac,677,16552.963933000006,148,51,1,7,10
31,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,6948,46131.09451499999,342,179,13,21,24
32,0x105631c6cddba84d12fa916f0045b1f97ec9c268,8980,108890.8175239999,544,254,35,67,68
33,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,2457,5836.815176,144,66,3,20,0
