,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x06012c8cf97bead5deae237070f9587f8e7a266d,49440.0,85971.696,2637,1199,363,198,754
1,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,368.0,864.296,21,8,6,1,7
2,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2389.0,12607.78,398,124,34,45,116
3,0x0000000000085d4780b73119b644ae5ecd22b376,274.0,1809.88,66,31,8,11,7
4,0x514910771af9ca656af840dff83e8264ecf986ca,2066.0,7237.4400000000005,186,158,36,32,47
5,0x798abda6cc246d0edba912092a2a3dbd3d11191b,14970.0,32438.164,924,443,136,67,281
6,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2394.0,5259.14,169,112,26,23,30
7,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,3953.0,10427.392,313,107,16,57,90
8,0x6b175474e89094c44da98b954eedeac495271d0f,803.0,5229.092000000001,244,82,12,29,34
9,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,4408.0,11300.912,445,237,53,59,59
10,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,1412.0,7643.7840000000015,187,99,40,34,45
11,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,5982.0,8824.748,335,165,25,32,75
12,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,8131.0,18067.516000000003,556,193,109,29,145
13,0x9e9801bace260f58407c15e6e515c45918756e0f,764.0,2991.8640000000005,99,58,13,12,19
14,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,4775.0,8709.132000000001,273,162,56,33,48
15,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,1756.0,4703.52,148,71,20,13,33
16,0x39755357759ce0d7f32dc8dc45414cca409ae24e,13456.0,31509.872000000003,1122,518,108,100,275
17,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,1867.0,4227.227999999999,153,38,19,15,34
18,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,507.0,2896.9680000000008,76,38,13,11,21
19,0x9554efa1669014c25070bc23c2df262825704228,490.0,741.3399999999999,32,14,5,2,5
