,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x798abda6cc246d0edba912092a2a3dbd3d11191b,21905.0,24538.336000000003,983,617,89,93,69
1,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,391.0,1211.536,92,54,4,8,1
2,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2239.0,2238.16,168,63,14,7,7
3,0x39755357759ce0d7f32dc8dc45414cca409ae24e,18548.0,22411.872000000003,1257,654,107,31,74
4,0x06012c8cf97bead5deae237070f9587f8e7a266d,66148.0,79143.428,2929,1449,352,212,209
5,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2234.0,2148.82,198,137,11,8,6
6,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,3793.0,10781.583999999999,465,166,31,29,26
7,0x6b175474e89094c44da98b954eedeac495271d0f,844.0,5834.9400000000005,282,97,2,13,7
8,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,931.0,3169.272,228,139,21,17,0
9,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,3792.0,5265.04,516,287,20,16,14
10,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,4210.0,4199.103999999999,315,204,27,14,12
11,0x9554efa1669014c25070bc23c2df262825704228,495.0,370.01200000000006,36,18,3,0,1
12,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,7244.0,6410.016,388,123,24,17,31
13,0x514910771af9ca656af840dff83e8264ecf986ca,1452.0,3808.1279999999997,232,191,18,11,7
14,0x9e9801bace260f58407c15e6e515c45918756e0f,577.0,1472.9879999999998,116,70,4,8,3
15,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,9610.0,8886.828,387,178,30,10,27
16,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,1585.0,3610.608,168,87,11,13,6
17,0x0000000000085d4780b73119b644ae5ecd22b376,183.0,838.976,76,37,2,4,4
18,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,9027.0,11896.284,605,295,72,42,18
