,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x6b175474e89094c44da98b954eedeac495271d0f,881.0,5904.036,282,97,9,5,8
1,0x0000000000085d4780b73119b644ae5ecd22b376,220.0,844.1320000000001,76,37,5,1,4
2,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,1132.0,3216.684,228,139,32,3,3
3,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,9280.0,6759.820000000001,388,123,27,7,38
4,0x9e9801bace260f58407c15e6e515c45918756e0f,621.0,1528.004,116,70,6,2,7
5,0x9554efa1669014c25070bc23c2df262825704228,495.0,374.904,36,18,2,0,2
6,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,3979.0,5496.968000000001,516,286,29,4,18
7,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2337.0,2175.544,198,137,14,2,9
8,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,437.0,1273.5079999999998,92,54,8,2,3
9,0x39755357759ce0d7f32dc8dc45414cca409ae24e,17812.0,23543.636,1257,648,107,10,101
10,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,4736.0,4294.932000000001,315,203,42,0,12
11,0x798abda6cc246d0edba912092a2a3dbd3d11191b,22800.0,25140.020000000004,983,612,121,33,102
12,0x06012c8cf97bead5deae237070f9587f8e7a266d,66415.0,81835.236,2929,1448,419,61,294
13,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,9529.0,9240.812,387,178,31,2,34
14,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,3883.0,11094.028,464,166,34,11,42
15,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,9532.0,12326.108,605,294,85,12,36
16,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,1697.0,3749.384,168,87,17,3,10
17,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,310.0,450.204,26,13,2,0,2
18,0x514910771af9ca656af840dff83e8264ecf986ca,1564.0,3887.2000000000003,232,191,19,5,12
19,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2312.0,2152.4039999999995,168,63,15,3,10
