,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x06012c8cf97bead5deae237070f9587f8e7a266d,63311.0,65336.208,2734,1383,403,402,229
1,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2263.0,3202.6360000000004,176,135,12,30,7
2,0x9e9801bace260f58407c15e6e515c45918756e0f,629.0,1934.816,102,69,5,22,3
3,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,8498.0,12543.032,582,256,109,62,23
4,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,214.0,632.124,23,10,5,3,2
5,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2025.0,3269.324,154,52,23,23,7
6,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,3471.0,9359.539999999999,417,152,43,77,28
7,0x6b175474e89094c44da98b954eedeac495271d0f,645.0,3730.5440000000003,254,89,9,42,7
8,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,3853.0,7708.176,453,279,27,78,16
9,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,957.0,4943.276,192,136,18,55,4
10,0x9554efa1669014c25070bc23c2df262825704228,429.0,635.1120000000001,34,14,7,2,1
11,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,422.0,1735.568,79,53,5,21,1
12,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,1564.0,3047.264,154,83,14,28,6
13,0x0000000000085d4780b73119b644ae5ecd22b376,199.0,1204.8319999999997,67,37,2,13,4
14,0x39755357759ce0d7f32dc8dc45414cca409ae24e,18603.0,21562.676000000003,1167,622,134,110,90
15,0x514910771af9ca656af840dff83e8264ecf986ca,1477.0,4530.9800000000005,198,190,17,45,9
16,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,7953.0,6186.352000000001,358,174,30,39,31
17,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,5312.0,8508.792,329,120,24,75,35
18,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,4193.0,6060.92,284,192,31,43,22
19,0x798abda6cc246d0edba912092a2a3dbd3d11191b,21860.0,19626.66,951,592,111,121,76
