,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0xabbb6bebfa05aa13e908eaa492bd7a8343760477,299.0,95.36000000000001,30,12,0,0,5
1,0x06012c8cf97bead5deae237070f9587f8e7a266d,46486.0,15985.576000000001,2873,1519,51,39,669
2,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,311.0,143.516,24,14,0,0,5
3,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,7785.0,2483.988,651,327,15,8,81
4,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2005.0,2336.868,438,160,8,22,87
5,0x0000000000085d4780b73119b644ae5ecd22b376,277.0,261.71199999999993,76,39,0,0,8
6,0x514910771af9ca656af840dff83e8264ecf986ca,1517.0,1087.328,224,195,1,8,31
7,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,6912.0,1527.42,463,363,2,5,41
8,0x818e6fecd516ecc3849daf6845e3ec868087b755,13448.0,2844.744,529,366,8,13,115
9,0x1f0480a66883de97d2b054929252aae8f664c15c,2283.0,673.064,196,142,2,2,18
10,0xd7cc16500d0b0ac3d0ba156a584865a43b0b0050,5200.0,2164.916,730,355,0,2,59
11,0x8fdcc30eda7e94f1c12ce0280df6cd531e8365c5,464.0,523.636,106,50,0,4,19
12,0x999999c60566e0a78df17f71886333e1dace0bae,4520.0,1609.888,386,138,7,8,46
13,0xe41d2489571d322189246dafa5ebde1f4699f498,878.0,1225.58,223,134,1,3,44
14,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,516.0,661.0239999999999,140,54,0,7,27
15,0x798abda6cc246d0edba912092a2a3dbd3d11191b,19208.0,4851.335999999999,975,631,10,2,233
16,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2285.0,674.724,196,142,2,2,18
17,0x68e54af74b22acaccffa04ccaad13be16ed14eac,11845.0,7051.023999999999,2027,880,11,17,207
18,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,11812.0,2822.7839999999997,823,699,0,7,76
19,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,3354.0,1913.2359999999999,381,127,6,11,58
