,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x798abda6cc246d0edba912092a2a3dbd3d11191b,25027.0,10238.387999999999,1013,728,32,17,61
1,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,706.0,529.456,92,64,1,2,0
2,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2531.0,1328.5559999999998,169,70,10,1,9
3,0x39755357759ce0d7f32dc8dc45414cca409ae24e,20819.0,9836.92,1263,744,30,2,84
4,0x06012c8cf97bead5deae237070f9587f8e7a266d,74946.0,30711.616,2930,1878,84,50,209
5,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2749.0,1198.936,198,151,2,2,7
6,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,5361.0,4157.539999999999,469,205,13,10,20
7,0x6b175474e89094c44da98b954eedeac495271d0f,1132.0,1340.5720000000001,282,107,2,5,5
8,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,320.0,217.348,26,14,1,0,2
9,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,1993.0,1663.976,228,171,0,2,4
10,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,5087.0,2249.96,518,317,4,4,10
11,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,5628.0,2325.9120000000003,315,232,11,8,6
12,0x9554efa1669014c25070bc23c2df262825704228,579.0,204.796,36,20,2,0,0
13,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,11563.0,3770.86,390,147,14,8,24
14,0x514910771af9ca656af840dff83e8264ecf986ca,2326.0,1938.3960000000002,233,212,2,4,8
15,0x9e9801bace260f58407c15e6e515c45918756e0f,953.0,774.028,116,78,1,4,2
16,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,10042.0,3250.4680000000003,387,201,14,5,25
17,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,2151.0,1248.744,168,106,1,5,5
18,0x0000000000085d4780b73119b644ae5ecd22b376,319.0,454.72400000000005,77,42,1,0,3
19,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,10661.0,4589.844,605,384,7,16,20
