,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x0d152b9ee87ebae179f64c067a966dd716c50742,5285.0,1485.028,397,321,28,0,18
1,0x6b175474e89094c44da98b954eedeac495271d0f,877.0,721.372,280,98,6,2,15
2,0x0ba45a8b5d5575935b8158a88c631e9f9c95a2e5,4752.0,430.06,139,62,6,0,9
3,0x3495ffcee09012ab7d827abf3e3b3ae428a38443,5772.0,1059.416,366,289,9,1,18
4,0x0000000000085d4780b73119b644ae5ecd22b376,281.0,217.512,76,39,2,2,4
5,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,1291.0,885.6600000000001,228,152,19,0,6
6,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,6277.0,1617.628,388,136,13,3,43
7,0x9e9801bace260f58407c15e6e515c45918756e0f,645.0,433.81600000000003,116,70,6,0,9
8,0x9554efa1669014c25070bc23c2df262825704228,505.0,91.98799999999999,36,19,1,0,2
9,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,4591.0,1407.7359999999999,516,299,12,2,24
10,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,4769.0,1010.3639999999998,394,232,12,0,27
11,0xcadb96858fe496bb6309622f9023ba2defb5d540,611.0,357.5,136,61,2,0,10
12,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2572.0,725.2639999999999,197,142,11,1,9
13,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,692.0,590.864,147,59,5,0,17
14,0x1f0480a66883de97d2b054929252aae8f664c15c,2309.0,679.4,198,141,8,2,11
15,0x9dffe202df7f82ba57a7f8d571628805eff7fed9,658.0,587.376,156,61,8,2,13
16,0xe41d2489571d322189246dafa5ebde1f4699f498,1267.0,964.312,228,152,17,0,8
17,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,498.0,389.38,92,58,4,0,5
18,0x39755357759ce0d7f32dc8dc45414cca409ae24e,18052.0,4159.795999999999,1256,695,43,3,126
