,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x68e54af74b22acaccffa04ccaad13be16ed14eac,11845.0,9051.572,1824,825,66,249,178
1,0xf230b790e05390fc8295f4d3f60332c93bed42e2,1272.0,660.596,136,74,4,16,11
2,0xdac17f958d2ee523a2206206994597c13d831ec7,7418.0,1584.696,323,209,20,35,24
3,0x74fd51a98a4a1ecbef8cc43be801cce630e260bd,2317.0,898.9559999999999,180,141,2,21,16
4,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,532.0,676.92,142,56,2,15,13
5,0x9dffe202df7f82ba57a7f8d571628805eff7fed9,560.0,823.78,146,53,5,17,19
6,0xac08809df1048b82959d6251fbc9538920bed1fa,7279.0,1699.696,340,161,31,36,23
7,0x06012c8cf97bead5deae237070f9587f8e7a266d,59193.0,16859.012000000002,2777,1478,256,244,396
8,0xe41d2489571d322189246dafa5ebde1f4699f498,952.0,1353.44,208,140,9,36,12
9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,624.0,357.01599999999996,146,56,0,12,8
10,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2394.0,869.896,189,141,4,9,17
11,0x9e9801bace260f58407c15e6e515c45918756e0f,646.0,525.784,104,72,0,16,9
12,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,8246.0,3013.6879999999996,596,302,47,20,67
13,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,8384.0,2894.916,624,324,34,44,56
14,0xa3c1e324ca1ce40db73ed6026c4a177f099b5770,3229.0,826.5079999999998,149,84,12,2,20
15,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,311.0,147.32,26,14,0,0,3
16,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2157.0,807.732,166,52,17,4,20
17,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,3103.0,2579.96,409,156,32,66,52
18,0xb8c77482e45f1f44de1745f52c74426c631bdd52,1188.0,589.256,179,98,2,13,9
19,0x3495ffcee09012ab7d827abf3e3b3ae428a38443,5483.0,1408.596,352,283,7,21,20
20,0x8fdcc30eda7e94f1c12ce0280df6cd531e8365c5,476.0,543.2319999999999,102,52,0,15,10
21,0x6b175474e89094c44da98b954eedeac495271d0f,846.0,1009.764,264,91,13,24,9
22,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,4041.0,2106.5879999999997,460,293,6,58,36
23,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,2629.0,862.9080000000001,225,183,11,6,8
24,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,898.0,1325.504,213,140,0,32,20
25,0x999999c60566e0a78df17f71886333e1dace0bae,4835.0,1964.092,361,126,24,37,37
26,0xa74476443119a942de498590fe1f2454d7d4ac0d,2454.0,883.056,182,87,14,24,10
27,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,853.0,544.608,97,47,1,17,10
28,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,4385.0,1483.5439999999999,394,220,16,4,31
29,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,12482.0,3605.7079999999996,790,695,15,44,61
30,0x62b9f8741bf53a6986a5411c0557c30f6f11f3af,654.0,776.7159999999999,131,65,7,19,14
31,0x9554efa1669014c25070bc23c2df262825704228,482.0,150.024,33,18,1,3,3
32,0x0ba45a8b5d5575935b8158a88c631e9f9c95a2e5,4545.0,647.8079999999999,136,50,14,5,11
33,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,37732.0,26547.528,4186,1866,322,436,769
34,0x1f0480a66883de97d2b054929252aae8f664c15c,2389.0,887.7239999999999,189,141,3,12,15
35,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,397.0,495.664,82,54,1,18,4
36,0xd7cc16500d0b0ac3d0ba156a584865a43b0b0050,5425.0,3011.02,691,338,38,45,34
37,0x818e6fecd516ecc3849daf6845e3ec868087b755,14989.0,3184.2239999999997,521,364,34,35,77
38,0x03df4c372a29376d2c8df33a1b5f001cd8d68b0e,547.0,774.1320000000001,142,86,1,34,9
39,0x744d70fdbe2ba4cf95131626614a1763df805b9e,29555.0,8196.32,1608,769,101,161,174
40,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,7273.0,1870.1439999999998,450,363,6,23,32
41,0xcadb96858fe496bb6309622f9023ba2defb5d540,697.0,505.524,123,60,3,17,6
42,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,1739.0,816.268,152,88,7,22,16
43,0x0000000000085d4780b73119b644ae5ecd22b376,293.0,283.04,67,39,2,11,4
44,0x8e870d67f660d95d5be530380d0ec0bd388289e1,328.0,184.848,79,29,0,6,4
45,0x39755357759ce0d7f32dc8dc45414cca409ae24e,16721.0,5635.432,1201,646,78,58,140
46,0x514910771af9ca656af840dff83e8264ecf986ca,1498.0,1199.84,221,193,3,19,23
47,0x0d8775f648430679a709e98d2b0cb6250d2887ef,1931.0,1127.388,215,126,7,37,18
48,0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,4979.0,1757.1,445,266,15,4,58
49,0xabbb6bebfa05aa13e908eaa492bd7a8343760477,299.0,109.14,32,12,0,0,3
50,0x0e50e6d6bb434938d8fe670a2d7a14cd128eb50f,618.0,759.84,136,65,4,16,15
51,0x0d152b9ee87ebae179f64c067a966dd716c50742,4746.0,1811.492,380,314,9,21,40
52,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,6658.0,1594.5479999999998,377,180,21,10,44
53,0x174bfa6600bf90c885c7c01c7031389ed1461ab9,2591.0,1802.368,330,169,16,34,32
54,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,3739.0,2070.9359999999997,364,124,12,25,58
55,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,4496.0,1433.388,310,207,17,5,33
56,0x912656188616e0184e3181f019022990a63280b1,858.0,455.39199999999994,102,65,5,9,4
57,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,4807.0,2796.692,596,345,14,42,70
58,0x798abda6cc246d0edba912092a2a3dbd3d11191b,22659.0,4936.459999999999,967,641,62,42,139
