,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,result_is_correct,inferred_size,initial_size_relation,final_size_relation
0,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block1660_input.json,29.0,29.0,True,False,81,52.0,10.36,POP DUP1 CALLDATALOAD PUSH20 1461501637330902918203684832716283019655932542975 AND SWAP1 PUSH1 32 ADD CALLDATALOAD PUSH2 6497 ,28,10.0,4,3,True,9,0.32142857142857145,0.9
1,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block1531.0_input.json,102.0,102.0,True,False,102,0.0,4.7,DUP1 DUP3 SUB PUSH1 1 DUP3 PUSH1 32 SUB PUSH2 256 EXP SUB NOT DUP2 MLOAD AND DUP2 ,15,15.0,7,3,True,15,1.0,1.0
2,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block2116_input.json,35.0,35.0,True,False,87,52.0,21.552,POP PUSH1 32 DUP2 CALLDATALOAD PUSH20 1461501637330902918203684832716283019655932542975 AND SWAP2 ADD CALLDATALOAD PUSH20 1461501637330902918203684832716283019655932542975 AND PUSH2 7746 ,30,12.0,5,3,True,11,0.36666666666666653,0.9166666666666666
3,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block5652.2_input.json,757.0,757.0,True,False,771,14.0,2.8,PUSH1 32 ADD PUSH1 0 SHA3 DUP1 SLOAD PUSH1 1 DUP2 ADD SWAP1 SWAP2 ,16,11.0,4,3,True,9,0.5625,0.8181818181818182
4,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block419.0_input.json,102.0,102.0,True,False,102,0.0,4.672,DUP1 DUP3 SUB PUSH1 1 DUP3 PUSH1 32 SUB PUSH2 256 EXP SUB NOT DUP2 MLOAD AND DUP2 ,15,15.0,7,3,True,15,1.0,1.0
5,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block480_input.json,29.0,29.0,True,False,81,52.0,11.772,POP DUP1 CALLDATALOAD PUSH20 1461501637330902918203684832716283019655932542975 AND SWAP1 PUSH1 32 ADD CALLDATALOAD PUSH2 2349 ,28,10.0,4,3,True,9,0.32142857142857145,0.9
6,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block4799.8_input.json,66.0,66.0,True,False,71,5.0,3.136,DUP1 MLOAD SWAP1 PUSH1 32 ADD SHA3 PUSH1 64 MLOAD PUSH1 32 ADD DUP1 PUSH32 11309588061646438093662687302255421419811724423900836950936401294474059186176 DUP3 ,15,13.0,5,3,True,12,0.8,0.9230769230769232
7,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block990.0_input.json,102.0,102.0,True,False,102,0.0,4.54,DUP1 DUP3 SUB PUSH1 1 DUP3 PUSH1 32 SUB PUSH2 256 EXP SUB NOT DUP2 MLOAD AND DUP2 ,15,15.0,7,3,True,15,1.0,1.0
8,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block4799.13_input.json,59.0,59.0,True,False,68,9.0,3.384,DUP1 MLOAD SWAP2 POP PUSH1 32 ADD SHA3 PUSH1 0 PUSH20 1461501637330902918203684832716283019655932542975 DUP11 AND ,12,11.0,4,3,True,10,0.8333333333333334,0.9090909090909092
9,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block1556.0_input.json,29.0,29.0,True,False,29,0.0,2.108,POP SWAP3 POP POP POP PUSH1 64 MLOAD SWAP1 SUB PUSH1 64 MLOAD ,11,11.0,2,1,True,8,0.7272727272727273,0.7272727272727273
10,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block4799.0_input.json,751.0,751.0,True,False,751,0.0,5.324,PUSH1 0 PUSH1 5 SLOAD PUSH32 105916522785188513640362517802612480037966763957092682311465172263008277174987 DUP3 SHL DUP11 DUP11 DUP11 DUP11 DUP11 PUSH1 32 PUSH1 64 MLOAD ADD DUP1 DUP8 DUP3 ,18,18.0,4,5,True,18,1.0,1.0
11,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block2236_input.json,29.0,29.0,True,False,81,52.0,10.444,POP DUP1 CALLDATALOAD PUSH20 1461501637330902918203684832716283019655932542975 AND SWAP1 PUSH1 32 ADD CALLDATALOAD PUSH2 7783 ,28,10.0,4,3,True,9,0.32142857142857145,0.9
12,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block1840_input.json,29.0,29.0,True,False,81,52.0,10.876,POP DUP1 CALLDATALOAD PUSH20 1461501637330902918203684832716283019655932542975 AND SWAP1 PUSH1 32 ADD CALLDATALOAD PUSH2 7689 ,28,10.0,4,3,True,9,0.32142857142857145,0.9
13,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block842_input.json,29.0,29.0,True,False,81,52.0,10.824000000000002,POP DUP1 CALLDATALOAD PUSH20 1461501637330902918203684832716283019655932542975 AND SWAP1 PUSH1 32 ADD CALLDATALOAD PUSH2 3948 ,28,10.0,4,3,True,9,0.32142857142857145,0.9
14,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block1738_input.json,29.0,29.0,True,False,81,52.0,12.044,POP DUP1 CALLDATALOAD PUSH20 1461501637330902918203684832716283019655932542975 AND SWAP1 PUSH1 32 ADD CALLDATALOAD PUSH2 7668 ,28,10.0,4,3,True,9,0.32142857142857145,0.9
15,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block3134.4_input.json,31.0,31.0,True,False,31,0.0,1.836,PUSH1 32 ADD PUSH1 64 MLOAD SWAP3 POP DUP3 SWAP2 POP SUB SWAP1 ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273
16,0x0000000000085d4780b73119b644ae5ecd22b376_OwnedUpgradeabilityProxy_block699_input.json,20.0,20.0,True,False,70,50.0,3.284,POP PUSH2 752 PUSH20 1461501637330902918203684832716283019655932542975 PUSH1 4 CALLDATALOAD AND PUSH2 1439 ,25,7.0,2,4,True,7,0.28,1.0
