,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,result_is_correct,inferred_size,initial_size_relation,final_size_relation
0,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block5353_input.json,36.0,36.0,True,False,36,0.0,31.088,POP POP POP PUSH20 1461501637330902918203684832716283019655932542975 PUSH1 32 PUSH1 64 MLOAD SUB MLOAD AND PUSH20 1461501637330902918203684832716283019655932542975 DUP11 AND ,13,13.0,5,3,True,13,1.0,1.0
1,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block5737.4_input.json,31.0,31.0,True,False,31,0.0,1.648,SWAP1 POP PUSH1 64 MLOAD DUP1 SWAP2 PUSH1 32 ADD SUB SWAP2 POP ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273
2,0x0000000000085d4780b73119b644ae5ecd22b376_OwnedUpgradeabilityProxy_block1500.4_input.json,31.0,31.0,True,False,31,0.0,2.004,SWAP1 POP PUSH1 64 MLOAD DUP1 SWAP2 PUSH1 32 ADD SUB SWAP2 POP ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273
3,0x0000000000085d4780b73119b644ae5ecd22b376_OwnedUpgradeabilityProxy_block598.1_input.json,31.0,31.0,True,False,31,0.0,2.004,SWAP1 POP PUSH1 64 MLOAD DUP1 SWAP2 PUSH1 32 ADD SUB SWAP2 POP ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273
4,0x0000000000085d4780b73119b644ae5ecd22b376_OwnedUpgradeabilityProxy_block188.4_input.json,31.0,31.0,True,False,31,0.0,1.712,SWAP1 POP PUSH1 64 MLOAD DUP1 SWAP2 PUSH1 32 ADD SUB SWAP2 POP ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273
5,0x0000000000085d4780b73119b644ae5ecd22b376_OwnedUpgradeabilityProxy_block1990.1_input.json,61.0,61.0,True,False,74,13.0,7.064,PUSH1 64 MLOAD PUSH1 19 DUP2 SWAP3 ADD SUB SWAP3 POP SWAP1 POP SHA3 ,17,12.0,4,2,True,9,0.5294117647058824,0.75
6,0x0000000000085d4780b73119b644ae5ecd22b376_OwnedUpgradeabilityProxy_block2055.1_input.json,61.0,61.0,True,False,74,13.0,6.332000000000002,PUSH1 64 MLOAD PUSH1 27 DUP2 SWAP3 ADD SUB SWAP3 POP SWAP1 POP SHA3 ,17,12.0,4,2,True,9,0.5294117647058824,0.75
7,0x0000000000085d4780b73119b644ae5ecd22b376_OwnedUpgradeabilityProxy_block2120.1_input.json,61.0,61.0,True,False,74,13.0,6.684,SWAP2 POP POP PUSH1 64 MLOAD DUP1 SWAP2 PUSH1 28 ADD SUB SWAP1 SHA3 ,17,12.0,4,2,True,9,0.5294117647058824,0.75
8,0x0000000000085d4780b73119b644ae5ecd22b376_UpgradeabilityProxy_block302.1_input.json,31.0,31.0,True,False,31,0.0,1.652,SWAP1 POP PUSH1 64 MLOAD DUP1 SWAP2 PUSH1 32 ADD SUB SWAP2 POP ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273
9,0x0000000000085d4780b73119b644ae5ecd22b376_OwnedUpgradeabilityProxy_block1198.4_input.json,31.0,31.0,True,False,31,0.0,1.704,SWAP1 POP PUSH1 64 MLOAD DUP1 SWAP2 PUSH1 32 ADD SUB SWAP2 POP ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273
10,0x0000000000085d4780b73119b644ae5ecd22b376_OwnedUpgradeabilityProxy_block357.1_input.json,31.0,31.0,True,False,31,0.0,1.784,SWAP1 POP PUSH1 64 MLOAD DUP1 SWAP2 PUSH1 32 ADD SUB SWAP2 POP ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273
11,0x0000000000085d4780b73119b644ae5ecd22b376_OwnedUpgradeabilityProxy_block1719.2_input.json,33.0,33.0,True,False,33,0.0,8.212,SWAP3 POP POP POP PUSH1 32 PUSH1 64 MLOAD SWAP2 ADD SUB PUSH1 64 MLOAD ,12,12.0,3,2,True,9,0.75,0.75
