,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x4a8f44be523580a11cdb20e2c7c470adf44ec9bb,5479.0,266.0519999999999,241,172,2,4,9
1,0xabbb6bebfa05aa13e908eaa492bd7a8343760477,511.0,41.876,9,9,0,0,4
2,0xae9b8e05c22bae74d1e8db82c4af122b18050bd4,4922.0,2392.42,644,309,16,4,107
3,0xe1ac9eb7cddabfd9e5ca49c23bd521afcdf8be49,4464.0,385.744,313,187,2,2,15
4,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,514.0,42.468,9,10,0,0,4
5,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,3136.0,571.4159999999999,320,94,3,8,30
6,0x9e15f8ad98e95033c1d4798458cec34a4b5972b0,7768.0,978.8719999999998,370,227,12,3,55
7,0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,2878.0,414.1719999999999,245,141,2,3,25
8,0x0000000000085d4780b73119b644ae5ecd22b376,1479.0,8.676000000000002,60,36,0,0,0
9,0x514910771af9ca656af840dff83e8264ecf986ca,3070.0,151.16799999999998,161,67,2,5,5
10,0x457476bc97adef10aba63fcadaefe503553fa0d2,4978.0,716.7159999999999,458,329,2,5,37
11,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,3217.0,86.404,154,75,0,1,5
12,0xdd9fd6b6f8f7ea932997992bbe67eabb3e316f3c,12248.0,1526.908,1335,523,17,5,98
13,0x818e6fecd516ecc3849daf6845e3ec868087b755,7506.0,385.3399999999999,306,146,1,2,25
14,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,471.0,53.16799999999999,19,9,0,0,4
15,0x818fc6c2ec5986bc6e2cbf00939d90556ab12ce5,2479.0,92.53199999999998,162,64,2,1,4
16,0x1f0480a66883de97d2b054929252aae8f664c15c,3896.0,144.98,189,116,2,1,9
17,0x8fdcc30eda7e94f1c12ce0280df6cd531e8365c5,719.0,227.17599999999996,108,55,3,3,10
18,0xd1ceeeefa68a6af0a5f6046132d986066c7f9426,5641.0,383.784,249,129,0,3,28
19,0xe41d2489571d322189246dafa5ebde1f4699f498,451.0,203.08399999999997,90,36,7,4,5
20,0xc4131c1893576e078a0b637b653f3e6a18e137ac,538.0,335.0559999999999,125,66,3,4,19
