,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0xdac17f958d2ee523a2206206994597c13d831ec7,6687.0,350.05199999999996,339,169,8,3,10
1,0xae9b8e05c22bae74d1e8db82c4af122b18050bd4,5821.0,2253.652,647,322,22,14,75
2,0x8562c38485b1e8ccd82e44f89823da76c98eb0ab,14534.0,2044.012,972,478,7,9,149
3,0xba7435a4b4c747e0101780073eeda872a69bdcd4,3754.0,180.20799999999997,208,175,2,2,3
4,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,4514.0,63.371999999999986,180,92,2,0,2
5,0x3495ffcee09012ab7d827abf3e3b3ae428a38443,2024.0,195.7,152,101,1,3,7
6,0x818fc6c2ec5986bc6e2cbf00939d90556ab12ce5,2643.0,66.68799999999999,163,68,0,1,1
7,0xbf5f8bfcee9502a30018d91c63eca66980e6e9bb,2680.0,351.41200000000003,234,118,3,4,14
8,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a,4424.0,69.87999999999998,185,100,1,1,1
9,0xc4131c1893576e078a0b637b653f3e6a18e137ac,702.0,259.46799999999996,129,73,1,4,10
10,0x12459c951127e0c374ff9105dda097662a027093,2510.0,712.5360000000001,365,192,5,2,42
11,0xb363a3c584b1f379c79fbf09df015da5529d4dac,4771.0,142.81599999999997,215,107,2,1,6
12,0x37a9679c41e99db270bda88de8ff50c0cd23f326,1732.0,63.255999999999986,77,43,0,0,4
13,0x4092678e4e78230f46a1534c0fbc8fa39780892b,2904.0,183.48799999999997,214,127,1,2,6
14,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,322.0,39.367999999999995,74,28,0,0,2
15,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,698.0,119.06400000000001,92,63,2,2,0
16,0xf8a4d3a0b5859a24cd1320ba014ab17f623612e2,19902.0,900.8519999999999,1156,694,10,15,35
17,0x03cb0021808442ad5efb61197966aef72a1def96,4016.0,545.5959999999999,293,175,8,5,23
18,0x1530df3e1c69501d4ecb7e58eb045b90de158873,3883.0,301.84,277,165,5,3,12
19,0xe6b75a1960f91bfa7010dec8543685ead67f8cff,4216.0,173.37199999999999,216,96,2,2,9
20,0x7600977eb9effa627d6bd0da2e5be35e11566341,1124.0,1081.2559999999999,564,207,8,17,58
21,0x425372c0ac9d559a186a08a3854e0ddea1a00d5c,13092.0,885.72,861,383,8,8,56
22,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,471.0,47.523999999999994,19,9,0,0,4
