,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0xd1ceeeefa68a6af0a5f6046132d986066c7f9426,6883.0,353.84000000000003,250,132,7,2,18
1,0xbcc394d45c3613530a83cae62c716dc23b7f2152,4556.0,219.652,238,75,6,1,10
2,0xcb97e65f07da24d46bcdd078ebebd7c6e6e3d750,648.0,248.476,148,56,2,10,6
3,0x6f259637dcd74c767781e37bc6133cd6a68aa161,1298.0,35.396,83,40,0,2,0
4,0x0d152b9ee87ebae179f64c067a966dd716c50742,3556.0,149.45599999999996,129,113,3,1,7
5,0x4672bad527107471cb5067a887f4656d585a8a31,2872.0,155.04399999999998,142,64,1,4,6
6,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,4218.0,210.53199999999998,213,156,2,3,4
7,0xc4131c1893576e078a0b637b653f3e6a18e137ac,682.0,276.26399999999995,129,69,2,7,10
8,0x1530df3e1c69501d4ecb7e58eb045b90de158873,3891.0,327.65599999999995,277,163,7,3,12
9,0x3c7b464376db7c9927930cf50eefdea2eff3a66a,1801.0,94.83599999999998,118,68,2,1,4
10,0xedbaf3c5100302dcdda53269322f3730b1f0416d,2375.0,181.248,90,64,7,0,0
11,0x3495ffcee09012ab7d827abf3e3b3ae428a38443,1918.0,218.51999999999998,152,96,3,6,7
12,0xbc4162d53f945266684f4e5e48d545f206bc1ca5,583.0,150.48,112,41,2,2,6
13,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,10860.0,645.8119999999999,801,267,15,2,27
14,0xbc2faad1ec407571249b0e874a9abd840111389b,1861.0,380.56,230,112,6,7,14
15,0x0000000000085d4780b73119b644ae5ecd22b376,1479.0,5.988,60,36,0,0,0
16,0x8562c38485b1e8ccd82e44f89823da76c98eb0ab,14168.0,2068.62,972,460,9,10,164
17,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,1226.0,57.608000000000004,72,49,3,1,0
18,0xb97048628db6b661d4c2aa833e95dbe1a905b280,2218.0,79.15999999999998,136,59,0,1,5
19,0x5b8174e20996ec743f01d3b55a35dd376429c596,719.0,278.08799999999997,155,64,5,7,9
20,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,9578.0,556.9559999999999,341,192,10,2,34
21,0x9e9801bace260f58407c15e6e515c45918756e0f,901.0,173.65200000000002,115,72,5,2,5
22,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,4506.0,65.66,180,92,0,0,4
23,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,3672.0,62.859999999999985,145,83,1,1,3
24,0xc5d105e63711398af9bbff092d4b6769c82f793d,2180.0,237.224,189,99,1,7,8
25,0x9554efa1669014c25070bc23c2df262825704228,278.0,45.56,9,8,1,2,1
26,0x08ceed1e8db59acbb687a5752f0a7db815cfda5e,3403.0,106.832,146,122,5,1,2
27,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,7476.0,275.608,356,219,8,2,11
28,0x105631c6cddba84d12fa916f0045b1f97ec9c268,13304.0,1275.072,542,324,27,1,74
29,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,3098.0,132.46799999999996,187,113,3,1,6
30,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,1674.0,131.58799999999997,114,42,0,3,8
31,0x37a9679c41e99db270bda88de8ff50c0cd23f326,1732.0,66.788,77,43,0,0,4
32,0x4f01001cf69785d4c37f03fd87398849411ccbba,2654.0,28.883999999999997,60,39,2,0,0
33,0x1f0480a66883de97d2b054929252aae8f664c15c,3960.0,127.98799999999999,190,117,1,1,8
34,0x867ffb5a3871b500f65bdfafe0136f9667deae06,6864.0,840.2560000000001,350,191,5,4,60
35,0xfc87d4f82fc5fe80a2d1692ffee872b2517c34c7,1580.0,299.984,161,91,9,4,7
36,0xd850942ef8811f2a866692a623011bde52a462c1,5719.0,304.23199999999997,176,98,4,3,16
37,0xfd0174784ebce943bdb8832ecdea9fea30e7c7a9,3040.0,189.136,175,83,4,1,9
38,0xe41d2489571d322189246dafa5ebde1f4699f498,492.0,126.024,92,45,1,4,0
39,0x425372c0ac9d559a186a08a3854e0ddea1a00d5c,13077.0,909.5999999999999,861,382,5,6,62
40,0x7c5cb1220bd293ff9cf903915732e51a71292038,3848.0,226.91199999999998,189,165,1,3,12
41,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,692.0,128.392,92,61,2,4,0
42,0x39755357759ce0d7f32dc8dc45414cca409ae24e,9190.0,578.4159999999999,780,308,13,1,29
43,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,3946.0,241.68799999999996,242,166,3,5,6
44,0xa74476443119a942de498590fe1f2454d7d4ac0d,1731.0,109.972,107,50,4,0,4
45,0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,9844.0,393.332,426,236,7,3,21
46,0xdac17f958d2ee523a2206206994597c13d831ec7,6767.0,376.83599999999996,339,168,8,4,10
47,0x02b3c88b805f1c6982e38ea1d40a1d83f159c3d4,1110.0,208.39999999999998,160,65,1,8,4
