,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0xf230b790e05390fc8295f4d3f60332c93bed42e2,2518.0,157.824,143,53,0,4,7
1,0xdac17f958d2ee523a2206206994597c13d831ec7,6415.0,642.5959999999999,338,154,17,6,14
2,0x4a8f44be523580a11cdb20e2c7c470adf44ec9bb,5394.0,399.9,241,168,2,11,6
3,0xbcc394d45c3613530a83cae62c716dc23b7f2152,3705.0,293.768,236,69,7,5,13
4,0xcb97e65f07da24d46bcdd078ebebd7c6e6e3d750,545.0,371.156,144,52,0,10,16
5,0x74fd51a98a4a1ecbef8cc43be801cce630e260bd,3088.0,198.70399999999998,190,112,5,1,9
6,0x6a750d255416483bec1a31ca7050c6dac4263b57,722.0,370.288,151,54,7,8,10
7,0xe530441f4f73bdb6dc2fa5af7c3fc5fd551ec838,5173.0,129.856,191,120,4,2,2
8,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,1607.0,195.85999999999996,112,41,2,5,7
9,0xdd9fd6b6f8f7ea932997992bbe67eabb3e316f3c,14661.0,1924.0839999999998,1327,510,39,13,89
10,0x4092678e4e78230f46a1534c0fbc8fa39780892b,2853.0,331.76,213,122,3,3,9
11,0x8562c38485b1e8ccd82e44f89823da76c98eb0ab,13914.0,2380.1799999999994,965,442,12,24,172
12,0x275b69aa7c8c1d648a0557656bce1c286e69a29d,3766.0,505.89599999999996,275,158,5,8,16
13,0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,3139.0,562.656,243,138,9,7,19
14,0x3c7b464376db7c9927930cf50eefdea2eff3a66a,1791.0,125.748,117,66,3,1,6
15,0x0b95993a39a363d99280ac950f5e4536ab5c5566,209.0,24.720000000000002,18,5,0,0,2
16,0xb3775fb83f7d12a36e0475abdd1fca35c091efbe,4297.0,478.50399999999996,324,106,5,5,28
17,0xe41d2489571d322189246dafa5ebde1f4699f498,395.0,242.248,90,37,3,8,4
18,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,4404.0,138.452,178,87,4,1,6
19,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,463.0,59.992,19,8,0,1,4
20,0xe6b75a1960f91bfa7010dec8543685ead67f8cff,4126.0,265.41999999999996,213,91,3,6,12
21,0x08ceed1e8db59acbb687a5752f0a7db815cfda5e,3396.0,172.00799999999998,144,119,5,2,6
22,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a,3875.0,155.03199999999998,182,94,5,3,4
23,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,322.0,76.832,72,27,1,0,4
24,0x9e15f8ad98e95033c1d4798458cec34a4b5972b0,7492.0,1415.6399999999999,365,193,37,14,58
25,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,3086.0,189.828,185,110,5,2,8
26,0x9e9801bace260f58407c15e6e515c45918756e0f,643.0,251.5,113,71,0,6,9
27,0x931abd3732f7eada74190c8f89b46f8ba7103d54,2301.0,158.188,132,97,1,5,7
28,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,8044.0,1076.6599999999999,554,235,18,19,56
29,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,3309.0,712.8919999999999,315,83,13,16,28
30,0x06a6a7af298129e3a2ab396c9c06f91d3c54aba8,12729.0,1291.78,906,385,16,8,84
31,0xbc4162d53f945266684f4e5e48d545f206bc1ca5,458.0,247.07999999999998,112,37,1,8,5
32,0xa3c1e324ca1ce40db73ed6026c4a177f099b5770,2112.0,68.37199999999999,59,33,3,1,3
33,0x02b3c88b805f1c6982e38ea1d40a1d83f159c3d4,996.0,376.19999999999993,158,55,5,12,8
34,0xfc87d4f82fc5fe80a2d1692ffee872b2517c34c7,1397.0,461.38399999999996,158,82,9,12,11
35,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,3661.0,119.88,141,81,3,2,6
36,0x9a642d6b3368ddc662ca244badf32cda716005bc,622.0,422.93999999999994,132,48,5,16,9
37,0xfd0174784ebce943bdb8832ecdea9fea30e7c7a9,2606.0,344.472,175,71,15,0,11
38,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,511.0,56.52799999999999,9,9,0,1,4
