,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x06012c8cf97bead5deae237070f9587f8e7a266d,53345.0,42657.296,2914,1633,28,42,534
1,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,311.0,240.62800000000001,26,14,0,0,3
2,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2455.0,6265.004000000001,459,174,6,10,68
3,0x0000000000085d4780b73119b644ae5ecd22b376,299.0,586.8880000000001,76,39,3,1,4
4,0x514910771af9ca656af840dff83e8264ecf986ca,2175.0,2340.952,228,209,1,5,16
5,0x798abda6cc246d0edba912092a2a3dbd3d11191b,20831.0,13938.960000000001,983,662,12,36,158
6,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2580.0,1335.808,196,150,0,2,12
7,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,4724.0,4251.255999999999,387,143,11,2,40
8,0x6b175474e89094c44da98b954eedeac495271d0f,846.0,1731.02,279,100,0,4,18
9,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,4711.0,3308.5119999999997,514,309,0,4,26
10,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,1535.0,2908.824,226,148,5,2,24
11,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,6575.0,3547.2400000000002,387,195,5,6,39
12,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,8464.0,6599.699999999999,597,349,13,14,59
13,0x9e9801bace260f58407c15e6e515c45918756e0f,794.0,1016.2159999999999,114,76,0,2,9
14,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,5132.0,2540.852,315,227,9,0,21
15,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,1842.0,1955.528,165,96,3,3,18
16,0x39755357759ce0d7f32dc8dc45414cca409ae24e,16309.0,12379.968,1255,697,7,25,139
17,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2037.0,1675.2000000000003,168,66,3,0,22
18,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,546.0,1130.9999999999998,90,56,1,2,10
19,0x9554efa1669014c25070bc23c2df262825704228,391.0,314.236,36,18,0,0,4
