,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x798abda6cc246d0edba912092a2a3dbd3d11191b,24958.0,9376.528,1014,733,16,26,62
1,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,653.0,539.68,92,63,2,2,0
2,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2547.0,1313.748,169,72,9,0,9
3,0x39755357759ce0d7f32dc8dc45414cca409ae24e,20908.0,9729.608,1263,745,33,18,64
4,0x06012c8cf97bead5deae237070f9587f8e7a266d,75160.0,30528.352,2930,1863,109,74,175
5,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2806.0,1061.408,198,151,4,2,5
6,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,5056.0,4837.08,469,198,14,14,22
7,0x6b175474e89094c44da98b954eedeac495271d0f,1181.0,1291.312,282,108,1,4,6
8,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,1849.0,1423.124,228,167,8,2,0
9,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,4864.0,2501.252,518,313,8,3,11
10,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,5416.0,2244.924,315,230,8,7,12
11,0x9554efa1669014c25070bc23c2df262825704228,518.0,217.01199999999997,36,19,2,0,1
12,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,8846.0,3859.0280000000002,390,149,15,5,24
13,0x514910771af9ca656af840dff83e8264ecf986ca,2251.0,1756.964,233,210,5,4,7
14,0x9e9801bace260f58407c15e6e515c45918756e0f,846.0,826.752,116,76,3,2,4
15,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,10398.0,3135.784,387,204,16,6,19
16,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,2098.0,1170.4279999999999,168,105,2,3,7
17,0x0000000000085d4780b73119b644ae5ecd22b376,328.0,514.212,77,42,4,0,0
18,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,10332.0,4681.719999999999,605,378,14,19,16
