,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x6b175474e89094c44da98b954eedeac495271d0f,1172.0,1447.4879999999998,282,105,1,4,9
1,0x0000000000085d4780b73119b644ae5ecd22b376,328.0,521.56,77,42,4,0,0
2,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,1843.0,1504.06,228,165,8,2,2
3,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,9629.0,4025.9240000000004,390,144,14,7,28
4,0x9e9801bace260f58407c15e6e515c45918756e0f,840.0,884.424,116,74,3,4,4
5,0x9554efa1669014c25070bc23c2df262825704228,518.0,220.77199999999996,36,19,2,0,1
6,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,4870.0,2509.1079999999997,518,311,8,5,11
7,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2759.0,1217.216,198,148,5,4,5
8,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,647.0,590.196,92,61,2,2,2
9,0x39755357759ce0d7f32dc8dc45414cca409ae24e,20825.0,10024.768,1263,742,36,10,72
10,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,5518.0,2330.548,315,230,7,7,13
11,0x798abda6cc246d0edba912092a2a3dbd3d11191b,24969.0,9669.82,1014,733,17,21,66
12,0x06012c8cf97bead5deae237070f9587f8e7a266d,74822.0,32001.404,2930,1835,121,64,201
13,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,10394.0,3296.956,387,202,17,4,22
14,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,5187.0,4977.764000000001,469,195,19,12,22
15,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,10505.0,5098.904,605,377,17,14,19
16,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,2092.0,1241.56,168,103,2,5,7
17,0x514910771af9ca656af840dff83e8264ecf986ca,2242.0,1871.9520000000002,233,208,4,4,10
18,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2433.0,1452.98,169,70,10,0,10
