,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x68e54af74b22acaccffa04ccaad13be16ed14eac,11761.0,8322.851999999999,1953,856,37,103,193
1,0xf230b790e05390fc8295f4d3f60332c93bed42e2,1276.0,676.024,133,73,4,15,16
2,0xdac17f958d2ee523a2206206994597c13d831ec7,7493.0,1564.788,340,214,14,18,25
3,0x74fd51a98a4a1ecbef8cc43be801cce630e260bd,2404.0,867.1119999999999,188,141,3,11,17
4,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,528.0,699.4199999999998,141,55,1,15,16
5,0x9dffe202df7f82ba57a7f8d571628805eff7fed9,563.0,787.1239999999999,149,54,6,15,16
6,0xac08809df1048b82959d6251fbc9538920bed1fa,7335.0,1609.752,357,164,32,13,25
7,0x06012c8cf97bead5deae237070f9587f8e7a266d,58579.0,16688.896,2874,1489,233,147,408
8,0xe41d2489571d322189246dafa5ebde1f4699f498,960.0,1292.904,215,140,9,25,16
9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,628.0,392.828,147,56,2,9,8
10,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2392.0,857.1399999999999,187,141,3,12,17
11,0x9e9801bace260f58407c15e6e515c45918756e0f,662.0,515.784,109,72,2,7,11
12,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,8510.0,3052.4879999999994,598,298,57,19,60
13,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,7966.0,2863.8439999999996,648,320,31,21,62
14,0xa3c1e324ca1ce40db73ed6026c4a177f099b5770,3199.0,842.3519999999999,148,83,12,2,22
15,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,311.0,151.732,26,13,1,0,3
16,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,1910.0,791.608,167,52,15,4,21
17,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2927.0,2455.888,430,162,17,39,67
18,0xb8c77482e45f1f44de1745f52c74426c631bdd52,1176.0,573.356,181,98,0,9,13
