,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x6b175474e89094c44da98b954eedeac495271d0f,1229.0,966.712,282,109,0,3,7
1,0x0000000000085d4780b73119b644ae5ecd22b376,360.0,324.44,77,42,4,0,0
2,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,2077.0,883.3319999999999,228,171,4,2,0
3,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,11806.0,3306.2560000000003,390,153,11,7,22
4,0x9e9801bace260f58407c15e6e515c45918756e0f,963.0,618.184,116,78,3,2,2
5,0x9554efa1669014c25070bc23c2df262825704228,567.0,169.07199999999997,36,20,0,0,2
6,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,5109.0,1673.8319999999999,518,317,6,2,10
7,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,3310.0,829.356,198,153,2,2,5
8,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,710.0,355.10799999999995,92,64,1,2,0
9,0x39755357759ce0d7f32dc8dc45414cca409ae24e,21488.0,8656.548,1264,750,31,12,66
10,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,5748.0,1916.532,315,234,11,9,3
11,0x798abda6cc246d0edba912092a2a3dbd3d11191b,26000.0,8032.82,1019,734,31,12,55
12,0x06012c8cf97bead5deae237070f9587f8e7a266d,79865.0,26994.748,2943,1876,110,30,192
13,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,12192.0,3012.3720000000003,389,201,18,4,20
14,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4523.0,3694.876,469,210,3,7,28
15,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,10764.0,4007.9960000000005,606,386,11,10,19
16,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,2164.0,989.496,168,106,4,3,4
17,0x514910771af9ca656af840dff83e8264ecf986ca,2374.0,1337.6,233,212,4,4,6
18,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2615.0,1111.8799999999999,169,76,3,1,10
