,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x6b175474e89094c44da98b954eedeac495271d0f,1188.0,1002.0,283,108,1,3,6
1,0x0000000000085d4780b73119b644ae5ecd22b376,360.0,315.4240000000001,77,43,3,0,0
2,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,2051.0,936.028,228,169,6,2,0
3,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,12558.0,3220.476,390,153,11,7,22
4,0x9e9801bace260f58407c15e6e515c45918756e0f,953.0,664.748,116,78,1,4,2
5,0x9554efa1669014c25070bc23c2df262825704228,575.0,177.95200000000003,36,20,1,0,1
6,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,5063.0,1746.04,518,317,4,4,10
7,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,3309.0,893.976,198,151,4,2,5
8,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,700.0,438.904,92,63,2,2,0
9,0x39755357759ce0d7f32dc8dc45414cca409ae24e,21308.0,8451.716,1269,750,27,13,64
10,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,5757.0,1912.168,315,233,12,9,3
11,0x798abda6cc246d0edba912092a2a3dbd3d11191b,26263.0,7704.344,1019,744,24,19,45
12,0x06012c8cf97bead5deae237070f9587f8e7a266d,78557.0,27092.428,2952,1878,118,40,163
13,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,10428.0,2861.724,391,202,16,4,19
14,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4385.0,3907.2880000000005,469,205,7,7,29
15,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,10506.0,4079.5080000000003,606,388,6,12,20
16,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,2157.0,1045.0400000000002,168,106,2,5,4
17,0x514910771af9ca656af840dff83e8264ecf986ca,2354.0,1415.796,233,213,2,4,7
18,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2616.0,1060.652,169,77,4,2,7
