,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x06012c8cf97bead5deae237070f9587f8e7a266d,56165.0,37148.64,2929,1686,62,37,437
1,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2989.0,5028.916,462,186,8,11,50
2,0x0000000000085d4780b73119b644ae5ecd22b376,355.0,400.556,77,42,4,0,0
3,0x514910771af9ca656af840dff83e8264ecf986ca,2111.0,1700.7240000000002,229,207,3,4,16
4,0x798abda6cc246d0edba912092a2a3dbd3d11191b,22000.0,10745.524,1017,682,14,19,119
5,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2672.0,995.5319999999999,197,150,1,2,10
6,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,5043.0,3484.24,390,151,5,2,35
7,0x6b175474e89094c44da98b954eedeac495271d0f,1161.0,1398.86,281,106,2,3,9
8,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,4797.0,2245.32,516,311,2,2,22
9,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,1809.0,1571.144,226,164,5,2,8
10,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,6359.0,3158.972,389,195,2,4,42
11,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,9159.0,5563.936,600,358,15,14,45
12,0x9e9801bace260f58407c15e6e515c45918756e0f,837.0,764.4079999999999,114,76,2,2,7
13,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,5218.0,2064.04,315,227,7,0,23
14,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,1946.0,1423.844,165,102,1,3,14
15,0x39755357759ce0d7f32dc8dc45414cca409ae24e,17543.0,10463.628,1264,703,16,15,125
16,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2307.0,1404.0880000000002,169,67,6,0,17
17,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,742.0,750.8800000000001,90,61,4,2,2
18,0x9554efa1669014c25070bc23c2df262825704228,496.0,236.79599999999996,36,19,0,0,3
