,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x798abda6cc246d0edba912092a2a3dbd3d11191b,26199.0,7747.476000000001,1019,740,26,29,37
1,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,731.0,323.60400000000004,92,64,1,2,0
2,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2581.0,1041.6040000000003,169,77,3,4,6
3,0x39755357759ce0d7f32dc8dc45414cca409ae24e,21170.0,7985.2080000000005,1264,752,26,21,60
4,0x06012c8cf97bead5deae237070f9587f8e7a266d,77563.0,24636.764000000003,2943,1899,109,52,148
5,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2853.0,727.6479999999999,198,153,1,2,6
6,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4547.0,3547.4760000000006,469,208,8,11,21
7,0x6b175474e89094c44da98b954eedeac495271d0f,1229.0,808.3199999999999,284,109,0,3,5
8,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,2171.0,799.312,228,171,4,2,0
9,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,5187.0,1725.9320000000002,518,316,5,4,10
10,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,5712.0,1752.6280000000002,315,234,3,8,12
11,0x9554efa1669014c25070bc23c2df262825704228,571.0,157.20799999999997,36,20,1,0,1
12,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,8478.0,3068.344,390,157,14,4,18
13,0x514910771af9ca656af840dff83e8264ecf986ca,2416.0,1183.776,233,212,4,4,6
14,0x9e9801bace260f58407c15e6e515c45918756e0f,978.0,574.476,116,78,1,4,2
15,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,10371.0,2672.8960000000006,389,206,12,4,21
16,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,2180.0,909.9040000000001,168,106,2,5,4
17,0x0000000000085d4780b73119b644ae5ecd22b376,316.0,311.792,77,42,0,4,0
18,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,10742.0,3475.38,606,386,12,15,13
