,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x6b175474e89094c44da98b954eedeac495271d0f,1229.0,891.136,284,109,0,3,5
1,0x0000000000085d4780b73119b644ae5ecd22b376,331.0,320.35999999999996,77,42,4,0,0
2,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,2171.0,891.512,228,171,4,2,0
3,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,11956.0,3223.96,390,156,14,3,20
4,0x9e9801bace260f58407c15e6e515c45918756e0f,978.0,662.5160000000001,116,78,1,4,2
5,0x9554efa1669014c25070bc23c2df262825704228,572.0,159.91199999999995,36,20,1,0,1
6,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,5190.0,1855.632,518,316,5,4,10
7,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2853.0,836.9279999999999,198,153,1,2,6
8,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,731.0,402.72400000000005,92,64,1,2,0
9,0x39755357759ce0d7f32dc8dc45414cca409ae24e,21216.0,8335.512,1264,749,23,21,66
10,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,5712.0,1798.9920000000002,315,234,3,0,20
11,0x798abda6cc246d0edba912092a2a3dbd3d11191b,26235.0,8157.880000000001,1019,739,35,15,43
12,0x06012c8cf97bead5deae237070f9587f8e7a266d,77535.0,26265.412,2943,1880,132,40,156
13,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,10478.0,2817.184,389,204,14,4,21
14,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4582.0,3771.9,469,208,8,10,22
15,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,10429.0,3786.1360000000004,606,385,6,15,20
16,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,2183.0,1042.3880000000001,168,106,2,5,4
17,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,382.0,208.68399999999997,26,15,0,0,2
18,0x514910771af9ca656af840dff83e8264ecf986ca,2410.0,1297.632,233,212,2,4,8
19,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2617.0,1107.6080000000002,169,77,4,3,6
