,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x6b175474e89094c44da98b954eedeac495271d0f,1177.0,1015.6440000000001,283,108,0,3,7
1,0x0000000000085d4780b73119b644ae5ecd22b376,360.0,289.2440000000001,77,45,1,0,0
2,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,2017.0,975.56,228,170,5,2,0
3,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,11803.0,3279.268,390,150,14,1,28
4,0x9e9801bace260f58407c15e6e515c45918756e0f,953.0,668.008,116,78,1,4,2
5,0x9554efa1669014c25070bc23c2df262825704228,578.0,182.16799999999998,36,20,2,0,0
6,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,5119.0,1680.992,518,317,4,4,10
7,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,3321.0,871.404,198,153,2,2,5
8,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,704.0,389.18399999999997,92,64,1,2,0
9,0x39755357759ce0d7f32dc8dc45414cca409ae24e,21049.0,8397.328,1267,749,31,5,71
10,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,5650.0,1936.5040000000001,315,233,12,0,12
11,0x798abda6cc246d0edba912092a2a3dbd3d11191b,26017.0,7466.871999999999,1021,741,25,6,58
12,0x06012c8cf97bead5deae237070f9587f8e7a266d,75388.0,25535.115999999998,2950,1885,113,22,181
13,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,9396.0,2757.34,391,202,13,1,25
14,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4628.0,3603.616,469,210,4,9,25
15,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,10771.0,3714.6639999999998,611,388,8,9,16
16,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,2151.0,1010.0160000000001,168,106,1,5,5
17,0x514910771af9ca656af840dff83e8264ecf986ca,2360.0,1369.86,233,213,3,4,6
18,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2645.0,973.228,169,79,1,3,7
