,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x06012c8cf97bead5deae237070f9587f8e7a266d,73872.0,42985.592000000004,2923,1668,242,91,227
1,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2744.0,1194.836,198,146,4,4,8
2,0x9e9801bace260f58407c15e6e515c45918756e0f,930.0,924.012,116,74,2,4,5
3,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,10177.0,6358.26,603,345,37,24,23
4,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2469.0,1894.768,168,62,15,3,11
5,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4311.0,6064.376,466,168,36,20,27
6,0x6b175474e89094c44da98b954eedeac495271d0f,1206.0,1888.1760000000002,282,93,12,9,5
7,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,5001.0,3047.72,516,305,10,4,18
8,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,1816.0,2303.3799999999997,228,151,12,10,4
9,0x9554efa1669014c25070bc23c2df262825704228,571.0,250.03199999999998,36,19,2,0,1
10,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,658.0,880.8439999999999,92,59,3,4,1
11,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,2050.0,1860.524,168,93,9,8,7
12,0x0000000000085d4780b73119b644ae5ecd22b376,303.0,520.144,77,39,2,5,0
13,0x39755357759ce0d7f32dc8dc45414cca409ae24e,20636.0,12458.68,1259,700,68,17,79
14,0x514910771af9ca656af840dff83e8264ecf986ca,2314.0,2049.404,233,204,6,8,8
15,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,10169.0,3811.692,385,190,25,6,26
16,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,7255.0,4398.9,388,135,21,9,30
17,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,5607.0,2738.796,315,224,10,8,15
18,0x798abda6cc246d0edba912092a2a3dbd3d11191b,24701.0,12093.664,1003,686,65,30,67
