,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x06012c8cf97bead5deae237070f9587f8e7a266d,52144.0,44123.916,2914,1586,96,31,524
1,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,311.0,240.58800000000002,26,14,0,0,3
2,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2472.0,5746.468000000001,462,175,7,8,65
3,0x0000000000085d4780b73119b644ae5ecd22b376,316.0,515.3039999999999,77,40,2,0,4
4,0x514910771af9ca656af840dff83e8264ecf986ca,1915.0,2408.648,228,201,9,5,16
5,0x798abda6cc246d0edba912092a2a3dbd3d11191b,20722.0,14146.192000000001,984,655,16,32,164
6,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2502.0,1450.8600000000001,196,147,3,2,12
7,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,4603.0,4509.564,389,138,12,1,43
8,0x6b175474e89094c44da98b954eedeac495271d0f,846.0,1835.964,278,100,0,4,19
9,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,4527.0,3052.776,516,304,5,2,26
10,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,1314.0,3010.2599999999998,226,139,17,2,21
11,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,6306.0,3707.2480000000005,387,193,4,2,46
12,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,8717.0,7176.284000000001,596,344,19,9,64
13,0x9e9801bace260f58407c15e6e515c45918756e0f,724.0,922.652,114,74,2,2,9
14,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,4973.0,2947.408,315,220,15,3,19
15,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,1727.0,1777.9119999999998,165,94,6,3,17
16,0x39755357759ce0d7f32dc8dc45414cca409ae24e,16448.0,12683.972,1254,693,13,23,140
17,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2028.0,1650.8400000000001,169,67,1,0,22
18,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,540.0,966.504,90,57,3,2,7
19,0x9554efa1669014c25070bc23c2df262825704228,496.0,316.13599999999997,36,18,1,0,3
