,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x798abda6cc246d0edba912092a2a3dbd3d11191b,24857.0,9629.828000000001,1014,718,40,19,60
1,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,707.0,396.31600000000003,92,64,1,2,0
2,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2554.0,1348.7,169,71,9,3,7
3,0x39755357759ce0d7f32dc8dc45414cca409ae24e,20730.0,9658.011999999999,1263,739,36,21,64
4,0x06012c8cf97bead5deae237070f9587f8e7a266d,74378.0,28736.124,2930,1874,87,71,189
5,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,3258.0,1124.8400000000001,198,151,4,2,5
6,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4627.0,3900.964,469,204,13,10,21
7,0x6b175474e89094c44da98b954eedeac495271d0f,1156.0,1430.068,282,105,4,4,6
8,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,320.0,216.692,26,14,1,0,2
9,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,1911.0,1427.124,228,168,7,2,0
10,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,4972.0,2090.744,518,314,7,4,10
11,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,5582.0,2217.384,315,231,20,3,3
12,0x9554efa1669014c25070bc23c2df262825704228,586.0,205.07999999999998,36,20,2,0,0
13,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,10142.0,3916.7559999999994,390,147,14,7,25
14,0x514910771af9ca656af840dff83e8264ecf986ca,2366.0,1728.588,233,213,3,4,6
15,0x9e9801bace260f58407c15e6e515c45918756e0f,891.0,707.24,116,77,2,4,2
16,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,9819.0,3240.2960000000003,387,201,12,9,23
17,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,2155.0,1028.036,168,106,2,5,4
18,0x0000000000085d4780b73119b644ae5ecd22b376,306.0,405.88399999999996,77,41,1,1,3
19,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,10263.0,4733.54,605,374,20,17,16
