,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x6b175474e89094c44da98b954eedeac495271d0f,1156.0,1450.6799999999998,282,105,4,3,7
1,0x0000000000085d4780b73119b644ae5ecd22b376,306.0,416.83200000000005,77,41,1,1,3
2,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,1929.0,1473.2559999999999,228,168,7,2,0
3,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,10616.0,4152.804,390,144,12,3,34
4,0x9e9801bace260f58407c15e6e515c45918756e0f,928.0,716.732,116,77,2,4,2
5,0x9554efa1669014c25070bc23c2df262825704228,586.0,207.992,36,20,2,0,0
6,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,5020.0,2107.58,518,314,7,4,10
7,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,3172.0,1257.4,198,149,6,2,5
8,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,707.0,402.41599999999994,92,64,1,2,0
9,0x39755357759ce0d7f32dc8dc45414cca409ae24e,20471.0,10077.02,1263,736,31,11,82
10,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,5611.0,2347.4399999999996,315,231,14,0,12
11,0x798abda6cc246d0edba912092a2a3dbd3d11191b,25011.0,10106.108,1014,717,48,10,62
12,0x06012c8cf97bead5deae237070f9587f8e7a266d,74436.0,29697.092000000004,2930,1868,96,52,205
13,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,9329.0,3422.5160000000005,387,200,14,6,25
14,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4648.0,3934.224,469,204,14,7,23
15,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,10551.0,4946.236,605,374,21,10,22
16,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,2155.0,1056.3920000000003,168,106,2,5,4
17,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,329.0,219.16400000000002,26,14,1,0,2
18,0x514910771af9ca656af840dff83e8264ecf986ca,2316.0,1830.3400000000001,233,212,4,4,6
19,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2546.0,1407.4879999999998,169,70,9,3,8
