,name,saved_gas,time,already_optimal,discovered_optimal,non_optimal_with_less_gas,non_optimal_with_same_gas,no_solution_found
0,0x06012c8cf97bead5deae237070f9587f8e7a266d,67042.0,48023.184,2922,1522,323,97,287
1,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,2795.0,1554.268,198,147,5,1,9
2,0x9e9801bace260f58407c15e6e515c45918756e0f,796.0,1103.516,116,74,1,2,8
3,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,9525.0,7446.768,603,334,43,28,24
4,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,320.0,313.848,26,14,1,0,2
5,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,2420.0,1974.876,168,63,16,2,10
6,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4025.0,6553.608,463,169,32,18,35
7,0x6b175474e89094c44da98b954eedeac495271d0f,1213.0,1908.832,282,97,12,1,9
8,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,4832.0,3878.98,514,300,15,4,20
9,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,1635.0,2899.684,228,146,10,15,6
10,0x9554efa1669014c25070bc23c2df262825704228,488.0,336.516,36,18,2,0,2
11,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,547.0,1050.852,92,56,2,6,3
12,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,1946.0,2114.2439999999997,168,91,5,9,12
13,0x0000000000085d4780b73119b644ae5ecd22b376,303.0,626.2320000000001,76,39,2,2,4
14,0x39755357759ce0d7f32dc8dc45414cca409ae24e,18755.0,14660.784,1254,660,90,8,111
15,0x514910771af9ca656af840dff83e8264ecf986ca,2188.0,2481.0600000000004,232,204,6,5,12
16,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,9440.0,4323.432,385,184,24,8,31
17,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,5506.0,4970.0599999999995,388,130,19,9,37
18,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,4992.0,3735.968,315,209,23,4,21
19,0x798abda6cc246d0edba912092a2a3dbd3d11191b,23557.0,14499.608,976,664,74,54,83
